Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,9,1.9152,,0.91
Pruned SAE,9,1.9255,,0.89
Pruned SAE,9,1.9165,,0.87
Pruned SAE,9,1.9133,,0.85
Pruned SAE,9,1.9259,,0.83
Pruned SAE,9,1.9102,,0.81
Pruned SAE,9,1.9377,,0.79
Pruned SAE,9,1.924,,0.77
Pruned SAE,9,1.9236,,0.75
Pruned SAE,9,1.9124,,0.73
Pruned SAE,9,1.9153,,0.71
Pruned SAE,9,1.9138,,0.69
Pruned SAE,9,1.9121,,0.67
Pruned SAE,9,1.9154,,0.65
Pruned SAE,9,1.9192,,0.63
Pruned SAE,9,1.9061,,0.61
Pruned SAE,9,1.9311,,0.59
Pruned SAE,9,1.8939,,0.57
Pruned SAE,9,1.8635,,0.55
Pruned SAE,9,1.8204,,0.53
Pruned SAE,9,1.811,,0.51
Pruned SAE,9,1.7967,,0.49
Pruned SAE,9,1.7759,,0.47
Pruned SAE,9,1.7716,,0.45
Pruned SAE,9,1.7648,,0.43
Pruned SAE,9,1.7623,,0.41
Pruned SAE,9,1.7627,,0.39
Pruned SAE,9,1.7562,,0.37
Pruned SAE,9,1.7532,,0.35
Pruned SAE,9,1.7522,,0.33
Pruned SAE,9,1.7466,,0.31
Pruned SAE,9,1.743,,0.29
Pruned SAE,9,1.7377,,0.27
Pruned SAE,9,1.7386,,0.25
Best sparse ratio pruned SAE,9,1.7377,1.7852,0.27
SAE trained on pruned gpt2-small ,10,1.7629,1.8184,0.0
Pretrained SAE,10,1.7162,1.7586,0.0
Pruned SAE,10,1.7643,,0.99
Pruned SAE,10,1.7642,,0.97
Pruned SAE,10,1.7642,,0.95
Pruned SAE,10,1.7642,,0.93
Pruned SAE,10,1.7635,,0.91
Pruned SAE,10,1.7629,,0.89
Pruned SAE,10,1.7635,,0.87
Pruned SAE,10,1.7637,,0.85
Pruned SAE,10,1.7648,,0.83
Pruned SAE,10,1.7655,,0.81
Pruned SAE,10,1.7644,,0.79
Pruned SAE,10,1.7645,,0.77
Pruned SAE,10,1.7679,,0.75
Pruned SAE,10,1.7734,,0.73
Pruned SAE,10,1.7674,,0.71
Pruned SAE,10,1.7756,,0.69
Pruned SAE,10,1.7745,,0.67
Pruned SAE,10,1.7839,,0.65
Pruned SAE,10,1.7752,,0.63
Pruned SAE,10,1.7849,,0.61
Pruned SAE,10,1.7982,,0.59
Pruned SAE,10,1.7822,,0.57
Pruned SAE,10,1.7838,,0.55
Pruned SAE,10,1.7859,,0.53
Pruned SAE,10,1.7731,,0.51
Pruned SAE,10,1.7728,,0.49
Pruned SAE,10,1.7637,,0.47
Pruned SAE,10,1.7608,,0.45
Pruned SAE,10,1.7599,,0.43
Pruned SAE,10,1.7569,,0.41
Pruned SAE,10,1.7551,,0.39
Pruned SAE,10,1.759,,0.37
Pruned SAE,10,1.7591,,0.35
Pruned SAE,10,1.7567,,0.33
Pruned SAE,10,1.7467,,0.31
Pruned SAE,10,1.7448,,0.29
Pruned SAE,10,1.7385,,0.27
Pruned SAE,10,1.7361,,0.25
Best sparse ratio pruned SAE,10,1.7361,1.7829,0.25
SAE trained on pruned gpt2-small ,11,1.6995,1.7426,0.0
Pretrained SAE,11,1.7532,1.7958,0.0
Pruned SAE,11,1.7771,,0.99
Pruned SAE,11,1.7725,,0.97
Pruned SAE,11,1.7759,,0.95
Pruned SAE,11,1.7787,,0.93
Pruned SAE,11,1.7898,,0.91
Pruned SAE,11,1.7771,,0.89
Pruned SAE,11,1.7781,,0.87
Pruned SAE,11,1.7832,,0.85
Pruned SAE,11,1.7701,,0.83
Pruned SAE,11,1.7661,,0.81
Pruned SAE,11,1.77,,0.79
Pruned SAE,11,1.7674,,0.77
Pruned SAE,11,1.7691,,0.75
Pruned SAE,11,1.7713,,0.73
Pruned SAE,11,1.7737,,0.71
Pruned SAE,11,1.7775,,0.69
Pruned SAE,11,1.7733,,0.67
Pruned SAE,11,1.7787,,0.65
Pruned SAE,11,1.7801,,0.63
Pruned SAE,11,1.7759,,0.61
Pruned SAE,11,1.7767,,0.59
Pruned SAE,11,1.7747,,0.57
Pruned SAE,11,1.7715,,0.55
Pruned SAE,11,1.7757,,0.53
