Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,10,2.4689,,0.69
Pruned SAE,10,2.4696,,0.67
Pruned SAE,10,2.4688,,0.65
Pruned SAE,10,2.4671,,0.63
Pruned SAE,10,2.4713,,0.61
Pruned SAE,10,2.4684,,0.59
Pruned SAE,10,2.4662,,0.57
Pruned SAE,10,2.4638,,0.55
Pruned SAE,10,2.4639,,0.53
Pruned SAE,10,2.4618,,0.51
Pruned SAE,10,2.461,,0.49
Pruned SAE,10,2.4603,,0.47
Pruned SAE,10,2.4605,,0.45
Pruned SAE,10,2.4599,,0.43
Pruned SAE,10,2.4546,,0.41
Pruned SAE,10,2.4509,,0.39
Pruned SAE,10,2.4493,,0.37
Pruned SAE,10,2.4485,,0.35
Pruned SAE,10,2.4436,,0.33
Pruned SAE,10,2.4413,,0.31
Pruned SAE,10,2.4384,,0.29
Pruned SAE,10,2.4348,,0.27
Pruned SAE,10,2.4318,,0.25
Best sparse ratio pruned SAE,10,2.4318,2.4775,0.25
SAE trained on pruned gpt2-small ,11,2.3948,2.4414,0.0
Pretrained SAE,11,2.428,2.474,0.0
Pruned SAE,11,2.4582,,0.99
Pruned SAE,11,2.4578,,0.97
Pruned SAE,11,2.4629,,0.95
Pruned SAE,11,2.4658,,0.93
Pruned SAE,11,2.464,,0.91
Pruned SAE,11,2.4658,,0.89
Pruned SAE,11,2.4653,,0.87
Pruned SAE,11,2.4584,,0.85
Pruned SAE,11,2.4602,,0.83
Pruned SAE,11,2.4582,,0.81
Pruned SAE,11,2.4575,,0.79
Pruned SAE,11,2.4581,,0.77
Pruned SAE,11,2.4616,,0.75
Pruned SAE,11,2.4609,,0.73
Pruned SAE,11,2.4617,,0.71
Pruned SAE,11,2.4597,,0.69
Pruned SAE,11,2.4599,,0.67
Pruned SAE,11,2.4588,,0.65
Pruned SAE,11,2.46,,0.63
Pruned SAE,11,2.4586,,0.61
Pruned SAE,11,2.4579,,0.59
Pruned SAE,11,2.4589,,0.57
Pruned SAE,11,2.4603,,0.55
Pruned SAE,11,2.4594,,0.53
Pruned SAE,11,2.4611,,0.51
Pruned SAE,11,2.4603,,0.49
Pruned SAE,11,2.4605,,0.47
Pruned SAE,11,2.4609,,0.45
Pruned SAE,11,2.4587,,0.43
Pruned SAE,11,2.4573,,0.41
Pruned SAE,11,2.4628,,0.39
Pruned SAE,11,2.4594,,0.37
Pruned SAE,11,2.4553,,0.35
Pruned SAE,11,2.4516,,0.33
Pruned SAE,11,2.4533,,0.31
Pruned SAE,11,2.4534,,0.29
Pruned SAE,11,2.452,,0.27
Pruned SAE,11,2.4532,,0.25
Best sparse ratio pruned SAE,11,2.4516,2.4971,0.33
