Model,Layer,Validation Loss,Test Loss,Sparse Ratio
Pruned SAE,9,2.9614,,0.61
Pruned SAE,9,2.961,,0.59
Pruned SAE,9,2.9615,,0.57
Pruned SAE,9,2.9628,,0.55
Pruned SAE,9,2.9617,,0.53
Pruned SAE,9,2.96,,0.51
Pruned SAE,9,2.9578,,0.49
Pruned SAE,9,2.9589,,0.47
Pruned SAE,9,2.9583,,0.45
Pruned SAE,9,2.957,,0.43
Pruned SAE,9,2.9556,,0.41
Pruned SAE,9,2.9532,,0.39
Pruned SAE,9,2.9544,,0.37
Pruned SAE,9,2.9513,,0.35
Pruned SAE,9,2.9502,,0.33
Pruned SAE,9,2.9485,,0.31
Pruned SAE,9,2.9476,,0.29
Pruned SAE,9,2.9464,,0.27
Pruned SAE,9,2.9452,,0.25
Best sparse ratio pruned SAE,9,2.9452,3.0416,0.25
SAE trained on pruned gpt2-small ,10,2.9476,3.0451,0.0
Pretrained SAE,10,2.9317,3.029,0.0
Pruned SAE,10,2.9571,,0.99
Pruned SAE,10,2.9571,,0.97
Pruned SAE,10,2.9571,,0.95
Pruned SAE,10,2.957,,0.93
Pruned SAE,10,2.957,,0.91
Pruned SAE,10,2.9569,,0.89
Pruned SAE,10,2.9569,,0.87
Pruned SAE,10,2.9568,,0.85
Pruned SAE,10,2.9568,,0.83
Pruned SAE,10,2.9567,,0.81
Pruned SAE,10,2.9566,,0.79
Pruned SAE,10,2.9565,,0.77
Pruned SAE,10,2.9564,,0.75
Pruned SAE,10,2.9562,,0.73
Pruned SAE,10,2.9561,,0.71
Pruned SAE,10,2.9559,,0.69
Pruned SAE,10,2.9558,,0.67
Pruned SAE,10,2.9557,,0.65
Pruned SAE,10,2.9555,,0.63
Pruned SAE,10,2.9552,,0.61
Pruned SAE,10,2.9549,,0.59
Pruned SAE,10,2.9545,,0.57
Pruned SAE,10,2.9543,,0.55
Pruned SAE,10,2.9539,,0.53
Pruned SAE,10,2.9533,,0.51
Pruned SAE,10,2.9526,,0.49
Pruned SAE,10,2.952,,0.47
Pruned SAE,10,2.9514,,0.45
Pruned SAE,10,2.9506,,0.43
Pruned SAE,10,2.95,,0.41
Pruned SAE,10,2.9492,,0.39
Pruned SAE,10,2.9482,,0.37
Pruned SAE,10,2.9475,,0.35
Pruned SAE,10,2.9463,,0.33
Pruned SAE,10,2.9452,,0.31
Pruned SAE,10,2.9439,,0.29
Pruned SAE,10,2.9423,,0.27
Pruned SAE,10,2.9407,,0.25
Best sparse ratio pruned SAE,10,2.9407,3.0389,0.25
SAE trained on pruned gpt2-small ,11,2.9225,3.0187,0.0
Pretrained SAE,11,2.9473,3.0444,0.0
Pruned SAE,11,2.9669,,0.99
Pruned SAE,11,2.967,,0.97
Pruned SAE,11,2.9678,,0.95
